Category,Events,Percentage
Strong Positive,5,11.36
Moderate Positive,3,6.82
Weak Positive,5,11.36
Neutral,30,68.18
Weak Negative,1,2.27
Moderate Negative,0,0.0
Strong Negative,0,0.0
