region,horizon,model,feature,importance
north,7,xgboost,SSHF,0.011725734919309616
north,7,xgboost,SSHF_Anomaly,0.009660267271101475
north,7,xgboost,SSHF_anom_mean_7d,0.008954903110861778
north,7,xgboost,SSHF_anom_mean_14d,0.0098430085927248
north,7,xgboost,SSHF_anom_mean_21d,0.006561065558344126
north,7,xgboost,SSHF_anom_mean_30d,0.007986518554389477
north,7,xgboost,ONI_0m,0.03620724380016327
north,7,xgboost,DMI_0m,0.0167885422706604
north,7,xgboost,MEI_0m,0.012277904897928238
north,7,xgboost,ONI_1m,0.013603667728602886
north,7,xgboost,DMI_1m,0.03225293755531311
north,7,xgboost,MEI_1m,0.02937677502632141
north,7,xgboost,ONI_2m,0.022437380626797676
north,7,xgboost,DMI_2m,0.007603340782225132
north,7,xgboost,MEI_2m,0.011980494484305382
north,7,xgboost,ONI_3m,0.015017516911029816
north,7,xgboost,DMI_3m,0.011365541256964207
north,7,xgboost,MEI_3m,0.01203294936567545
north,7,xgboost,ONI_6m,0.01646563597023487
north,7,xgboost,DMI_6m,0.01852838508784771
north,7,xgboost,MEI_6m,0.023430177941918373
north,7,xgboost,DOY_sin,0.031443364918231964
north,7,xgboost,DOY_cos,0.01732436567544937
north,14,xgboost,SST,0.012587929144501686
north,14,xgboost,Climatology,0.011530699208378792
north,14,xgboost,Threshold90,0.010176995769143105
north,14,xgboost,Intensity,0.07001037895679474
north,14,xgboost,SST_Anomaly,0.0403035432100296
north,14,xgboost,Above_Threshold,0.005916209425777197
north,14,xgboost,Distance_to_Threshold,0.03404511883854866
north,14,xgboost,Consecutive_Hot_Days,0.004015323240309954
north,14,xgboost,SST_mean_7d,0.008542307652533054
north,14,xgboost,SST_std_7d,0.007103682495653629
north,14,xgboost,Intensity_mean_7d,0.09055788815021515
north,14,xgboost,SST_mean_14d,0.009784979745745659
north,14,xgboost,SST_std_14d,0.008704719133675098
north,14,xgboost,Intensity_mean_14d,0.03165779262781143
north,14,xgboost,SST_mean_21d,0.01375630497932434
north,14,xgboost,SST_std_21d,0.010014897212386131
